Columns in this Dataset,,,
Column Name,Description,Type,
YEAR,Calendar Year,Number,
MONTH,Month,Number,
SUPPLIER,Supplier Name,Plain Text,
ITEM CODE,Item code,Plain Text,
ITEM DESCRIPTION,Item Description,Plain Text,
ITEM TYPE,Item Type,Plain Text,
RETAIL SALES,Cases of product sold from DLC dispensaries,Number,
RETAIL TRANSFERS,Cases of product transferred to DLC dispensaries,Number,
WAREHOUSE SALES,Cases of product sold to MC licensees,Number,
,,,
"Note: DLC = Department of Liquor Control, MC = Montgomery County",,,
