ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,NumWebPurchases,NumWebVisitsMonth
5524,1957,Graduation,Single,58138,0,0,4/9/2012,4,7
2174,1954,Graduation,Single,46344,1,1,8/3/2014,8,5
4141,1965,Graduation,Together,71613,0,0,21-08-2013,13,4
6182,1984,Graduation,Together,26646,1,0,10/2/2014,3,6
5324,1981,PhD,Married,58293,1,0,19-01-2014,4,5
7446,1967,Master,Together,62513,0,1,9/9/2013,3,6
965,1971,Graduation,Divorced,55635,0,1,13-11-2012,6,6
6177,1985,PhD,Married,33454,1,0,8/5/2013,5,8
4855,1974,PhD,Together,30351,1,0,6/6/2013,4,9
5899,1950,PhD,Together,5648,1,1,13-03-2014,1,20
1994,1983,Graduation,Married,,1,0,15-11-2013,4,7
387,1976,Basic,Married,7500,0,0,13-11-2012,5,8
2125,1959,Graduation,Divorced,63033,0,0,15-11-2013,6,2
8180,1952,Master,Divorced,59354,1,1,15-11-2013,8,6
2569,1987,Graduation,Married,17323,0,0,10/10/2012,2,8
2114,1946,PhD,Single,82800,0,0,24-11-2012,6,3
9736,1980,Graduation,Married,41850,1,1,24-12-2012,7,8
4939,1946,Graduation,Together,37760,0,0,31-08-2012,5,7
6565,1949,Master,Married,76995,0,1,28-03-2013,5,5
2278,1985,2n Cycle,Single,33812,1,0,3/11/2012,2,6
9360,1982,Graduation,Married,37040,0,0,8/8/2012,9,8
5376,1979,Graduation,Married,2447,1,0,6/1/2013,8,1
1993,1949,PhD,Married,58607,0,1,23-12-2012,3,8
4047,1954,PhD,Married,65324,0,1,11/1/2014,2,4
1409,1951,Graduation,Together,40689,0,1,18-03-2013,4,8
7892,1969,Graduation,Single,18589,0,0,2/1/2013,4,7
2404,1976,Graduation,Married,53359,1,1,27-05-2013,7,7
5255,1986,Graduation,Single,,1,0,20-02-2013,4,1
9422,1989,Graduation,Married,38360,1,0,31-05-2013,5,3
1966,1965,PhD,Married,84618,0,0,22-11-2013,1,2
6864,1989,Master,Divorced,10979,0,0,22-05-2014,2,5
3033,1963,Master,Together,38620,0,0,11/5/2013,9,3
5710,1970,Graduation,Together,40548,0,1,10/10/2012,8,5
7373,1952,PhD,Divorced,46610,0,2,29-10-2012,9,6
8755,1946,Master,Married,68657,0,0,20-02-2013,4,7
10738,1951,Master,Single,49389,1,1,29-08-2013,1,7
4339,1970,PhD,Married,67353,0,1,31-12-2013,6,2
10755,1976,2n Cycle,Married,23718,1,0,2/9/2013,9,7
8595,1973,Graduation,Widow,42429,0,1,11/2/2014,6,5
2968,1943,PhD,Divorced,48948,0,0,1/2/2013,7,6
8601,1980,Graduation,Married,80011,0,1,29-04-2013,6,4
503,1985,Master,Married,20559,1,0,12/3/2013,9,8
8430,1957,Graduation,Together,21994,0,1,24-12-2012,12,5
7281,1959,PhD,Single,,0,0,5/11/2013,4,2
2139,1975,Master,Married,7500,1,0,2/10/2013,3,5
1371,1976,Graduation,Single,79941,0,0,28-06-2014,3,1
9909,1996,2n Cycle,Married,7500,0,0,9/11/2012,8,9
7286,1968,Graduation,Together,41728,1,0,24-05-2013,7,10
7244,1951,Graduation,Single,,2,1,1/1/2014,3,6
6566,1954,PhD,Married,72550,1,1,8/11/2012,8,8
8614,1957,Graduation,Widow,65486,0,1,12/5/2014,1,2
4114,1964,Master,Married,79143,0,0,11/8/2012,8,3
1331,1977,Graduation,Single,35790,1,0,2/1/2013,1,7
2225,1977,Graduation,Divorced,82582,0,0,7/6/2014,3,1
9381,1978,Graduation,Married,66373,1,1,12/6/2013,7,3
